rand48	0.16306919	0.20387891	0.63014045	0.73127617	0.0819944807
rand49	-0.40208255	0.33425581	-0.63777701	-0.56554678	0.0452568997
rand50	0.63137976	0.09370005	0.76653883	-0.07069734	0.0257221638
rand51	0.76289485	0.16880258	0.62407400	0.00536502	0.0283165809
rand52	0.31275374	0.45355303	0.17420280	-0.81616673	0.1274842744
rand53	-0.07971111	0.91092905	-0.22749605	-0.33481329	0.0108023192
rand54	-0.17493986	-0.94088751	-0.13234849	0.25809033	0.0116385276
rand55	0.35932834	-0.20737925	-0.82469156	-0.38439670	0.0078436676
rand56	-0.71390525	-0.69971629	-0.02485040	0.01090195	0.0288857954
rand57	-0.15401357	0.28013643	0.64828894	0.69103173	0.0557317165
rand58	-0.68689938	-0.43976736	-0.57179119	-0.08848016	0.0259382973
rand59	-0.26020884	0.64039465	0.56996585	-0.44421277	0.0306258263
rand60	0.21273026	-0.58012100	-0.70399335	-0.35014114	0.0075529102
rand61	-0.14947762	-0.74087217	-0.24121203	-0.60875415	0.0503656598
rand62	-0.82641890	0.17313915	0.20767966	-0.49388643	0.0157894951
rand63	0.89492266	0.38221390	0.22549051	0.04669055	0.0256310989
rand64	0.21148935	-0.13778884	0.08604028	-0.96378606	0.2693367319
rand65	-0.06418416	0.08290297	0.17996095	0.97807032	0.2855653006
rand66	0.36631070	-0.23974448	-0.84067818	-0.31874639	0.0086236894
rand67	0.05429450	-0.77156517	0.24669465	0.58385019	0.0260644013
rand68	0.16193651	-0.63545248	0.68078568	-0.32635498	0.0147399811
rand69	-0.60151500	-0.44874749	0.03202699	0.66013610	0.0596869724
rand70	0.24207070	0.33719417	-0.24125745	-0.87720961	0.1761230110
rand71	0.27761989	0.69152870	0.35296943	0.56579841	0.0386206832
rand72	0.56186897	-0.16524707	-0.80566075	-0.08892368	0.0235974896
rand73	-0.34926546	0.47913424	0.04235292	-0.80414566	0.1194228186
rand74	-0.15980084	-0.91331837	-0.36769028	-0.07153390	0.0288716341
rand75	-0.46791215	-0.60747882	-0.01141755	0.64179229	0.0451432762
rand76	-0.85619689	0.30554259	-0.01379491	0.41638962	0.0267906185
rand77	-0.65990263	-0.17541902	0.06244170	0.72791326	0.0913431871
rand78	-0.93070291	-0.07523708	0.12864320	-0.33403951	0.0064059620
rand79	0.39033076	0.39901478	-0.82237640	0.11011886	0.0254106626
rand80	-0.39795316	0.14275931	0.90346891	0.07068939	0.0238924192
rand81	0.08701338	-0.55507745	-0.55925044	0.60955446	0.0493245086
rand82	0.38833979	-0.72948597	0.53167560	-0.18537388	0.0215047294
rand83	0.63301443	-0.10683330	-0.63151136	0.43482500	0.0259659729
rand84	0.29124843	0.77477563	-0.54655063	0.12719862	0.0281609608
rand85	-0.46562833	0.58159807	-0.64077906	-0.18530015	0.0292401255
rand86	-0.79719927	0.37653075	0.23965043	-0.40652870	0.0183893661
rand87	-0.26433009	0.76311068	-0.09743312	-0.58163432	0.0290952076
rand88	-0.12163956	0.46287298	0.86420849	-0.15522925	0.0292262640
rand89	0.22295164	-0.29034036	0.74971581	0.55129053	0.0422321615
rand90	-0.26818499	0.28265535	-0.72176563	-0.57204645	0.0459538304
rand91	-0.63991849	-0.16182996	0.73150058	0.17094530	0.0245069647
rand92	0.59047347	-0.59141143	0.40840100	-0.36712699	0.0141324589
rand93	0.31104320	-0.93655998	0.06446923	-0.14815958	0.0282915636
rand94	-0.39868778	0.33863549	-0.80525448	-0.27917607	0.0300582312
rand95	-0.02458092	0.63363087	-0.29041144	0.71663721	0.0829753560
rand96	0.22773057	-0.87479478	0.03449207	0.42624309	0.0126196459
rand97	-0.08268397	-0.00894429	-0.11083693	0.99035273	0.3012016042
rand98	0.27563740	0.72258166	0.13453845	-0.61951528	0.0327457823
rand99	0.03479851	-0.81045782	-0.27141518	-0.51795848	0.0336117899
rand100	0.01068881	0.64118419	-0.05762844	0.76514545	0.1093026340
rand101	-0.28750403	-0.20386689	0.60195144	0.71654322	0.0751654015
rand102	-0.29510925	-0.38132645	0.87603823	-0.00759507	0.0270907122
rand103	0.13681341	0.98747535	-0.00087276	-0.07857328	0.0212565478
rand104	0.57473764	0.26466113	-0.60497145	-0.48336392	0.0249236378
rand105	-0.60383985	0.27707941	-0.74607396	0.04447559	0.0234097913
rand106	-0.30908946	-0.35738382	0.23185979	-0.85028321	0.1566589240
rand107	0.10483035	0.49899976	-0.13019864	0.85032826	0.1621389006
rand108	-0.66700405	-0.46544586	0.58167964	0.01070282	0.0274949726
rand109	0.30939302	-0.72896123	-0.12971563	0.59671211	0.0352482270
rand110	-0.67791462	0.40700587	0.09333403	0.60503451	0.0437761841
rand111	-0.82628689	-0.48827127	0.26867904	0.08156422	0.0288808921
rand112	-0.50450011	0.45657247	0.16674688	0.71359421	0.0753693627
rand113	-0.13334565	0.60299954	-0.06405352	-0.78390538	0.1023702280
rand114	0.51123096	0.76495911	-0.33626113	-0.20101971	0.0208433627
rand115	-0.01337275	0.81021790	0.35997621	0.46236918	0.0266774317
rand116	-0.35775114	0.41109211	0.60726249	-0.57814330	0.0469618309
rand117	-0.22624450	0.15345514	-0.90414664	-0.32830444	0.0282403095
rand118	0.82978103	0.26332306	0.46991198	-0.14596967	0.0275329775
rand119	-0.57849802	0.63906827	0.45633404	0.22066047	0.0182167499
rand120	0.68956425	0.46643924	-0.07299256	-0.54918819	0.0372966708
rand121	-0.30662417	0.45915647	-0.79765880	0.24268786	0.0114932710
rand122	0.59082455	-0.15185684	-0.40511740	0.68098880	0.0621130781
rand123	-0.06927261	-0.60173602	0.29683679	0.73824317	0.0782911611
rand124	0.63111923	0.42874693	0.31118277	0.56659497	0.0297627034
rand125	-0.07744103	-0.89066672	0.32019203	-0.31335720	0.0287967511
rand126	0.13503715	0.64240159	-0.63137648	-0.41285459	0.0204427782
rand127	-0.45124044	0.16775199	0.86116059	-0.16322921	0.0291670953
rand128	0.02656591	-0.20514624	-0.56337062	0.79988925	0.1240168160
