theta swap tri hex
0.912558 0.01755104 0.02141547 0.00002885
0.917545 0.01629761 0.01995233 0.00002542
0.922531 0.01508877 0.01853375 0.00002227
0.927518 0.01392476 0.01716058 0.00001938
0.932504 0.01280580 0.01583367 0.00001675
0.937491 0.01173213 0.01455386 0.00001437
0.942478 0.01070396 0.01332201 0.00001222
0.947464 0.00972154 0.01213893 0.00001030
0.952451 0.00878507 0.01100548 0.00000859
0.957438 0.00789478 0.00992247 0.00000709
0.962424 0.00705088 0.00889075 0.00000578
0.967411 0.00625360 0.00791113 0.00000464
0.972398 0.00550315 0.00698445 0.00000367
0.977384 0.00479972 0.00611153 0.00000286
0.982371 0.00414354 0.00529321 0.00000217
0.987358 0.00353480 0.00453029 0.00000162
0.992344 0.00297371 0.00382362 0.00000117
0.997331 0.00246047 0.00317402 0.00000082
1.002318 0.00199526 0.00258232 0.00000055
1.007304 0.00157828 0.00204935 0.00000035
1.012291 0.00120971 0.00157593 0.00000021
1.017278 0.00088973 0.00116290 0.00000012
1.022264 0.00061853 0.00081110 0.00000006
1.027251 0.00039628 0.00052137 0.00000003
1.032238 0.00022314 0.00029455 0.00000001
1.037224 0.00009927 0.00013148 0.00000000
1.042211 0.00002484 0.00003301 0.00000000
1.047198 0.00000000 0.00000000 -0.00000000
